Row ID,Order Priority,Discount,Unit Price,Customer ID,Customer Name,Customer Segment,Product Category,Product Sub-Category,Product Name,City,Order Weekday,Weekday helper,Profit,Quantity ordered new,Sales,Order ID,Order returned,Order Date,,,
20847,High,0.01,2.84,3,Bonnie Potter,Corporate,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters,Warsaw,Wednesday,3.00,4.56,4,13.01,88522,FALSE,2015-01-07,,Monday,1
20228,Not Specified,0.02,500.98,5,Ronnie Proctor,Home Office,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,Warsaw,Saturday,6.00,4390.3665,12,6362.85,90193,FALSE,2015-06-13,,Tuesday,2
21776,Critical,0.06,9.48,11,Marcus Dunlap,Home Office,Furniture,Office Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Lodz,Sunday,7.00,-53.8096,22,211.15,90192,FALSE,2015-02-15,,Wednesday,3
24844,Medium,0.09,78.69,14,Gwendolyn F Tyson,Small Business,Furniture,Office Furnishings,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,Krakow,Tuesday,2.00,803.4705,16,1164.45,86838,FALSE,2015-05-12,,Thursday,4
24846,Medium,0.08,3.28,14,Gwendolyn F Tyson,Small Business,Office Supplies,Pens & Art Supplies,Newell 321,Krakow,Tuesday,2.00,-24.03,7,22.23,86838,FALSE,2015-05-12,,Friday,5
24847,Medium,0.05,3.28,14,Gwendolyn F Tyson,Small Business,Office Supplies,Pens & Art Supplies,Newell 351,Krakow,Tuesday,2.00,-37.03,4,13.99,86838,FALSE,2015-05-12,,Saturday,6
24848,Medium,0.05,3.58,14,Gwendolyn F Tyson,Small Business,Office Supplies,Rubber Bands,"OIC Colored Binder Clips, Assorted Sizes",Krakow,Tuesday,2.00,-0.71,4,14.26,86838,FALSE,2015-05-12,,Sunday,7
18181,Critical,0,4.42,15,Timothy Reese,Small Business,Office Supplies,Envelopes,Grip Seal Envelopes,Lodz,Wednesday,3.00,-59.82,7,33.47,86837,FALSE,2015-04-08,,,
20925,Medium,0.01,35.94,15,Timothy Reese,Small Business,Office Supplies,Envelopes,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",Lodz,Thursday,4.00,261.8757,10,379.53,86839,FALSE,2015-05-28,,,
26267,High,0.04,2.98,16,Sarah Ramsey,Small Business,Office Supplies,Rubber Bands,Staples Gold Paper Clips,Lodz,Thursday,4.00,2.63,6,18.8,86836,FALSE,2015-02-12,,,
26268,High,0.05,115.99,16,Sarah Ramsey,Small Business,Technology,Telephones and Communication,StarTAC 7797,Lodz,Thursday,4.00,652.7331,10,945.99,86836,FALSE,2015-02-12,,,
23890,High,0.05,26.48,18,Laurie Hanna,Small Business,Furniture,Office Furnishings,DAX Natural Wood-Tone Poster Frame,Warsaw,Friday,5.00,314.4813,17,455.77,90031,FALSE,2015-05-15,,,
24063,Not Specified,0.07,12.99,19,Jim Rodgers,Small Business,Technology,Office Machines,Hewlett Packard 6S Scientific Calculator,Warsaw,Thursday,4.00,-114.6399,18,231.79,90032,FALSE,2015-05-21,,,
5890,High,0.05,26.48,21,Tony Wilkins Winters,Small Business,Furniture,Office Furnishings,DAX Natural Wood-Tone Poster Frame,Lodz,Friday,5.00,384.38,70,1876.69,41793,FALSE,2015-05-15,,,
6062,Not Specified,0.08,5,21,Tony Wilkins Winters,Small Business,Office Supplies,Rubber Bands,Advantus Plastic Paper Clips,Lodz,Thursday,4.00,-17.49,58,293.06,42949,FALSE,2015-05-21,,,
6063,Not Specified,0.07,12.99,21,Tony Wilkins Winters,Small Business,Technology,Office Machines,Hewlett Packard 6S Scientific Calculator,Lodz,Thursday,4.00,-114.6399,71,914.29,42949,FALSE,2015-05-21,,,
20631,High,0.06,55.48,24,Edna Thomas,Corporate,Office Supplies,Paper,Xerox 194,Warsaw,Wednesday,3.00,-28.2968,1,67.49,87651,FALSE,2015-01-28,,,
20632,High,0.02,1.68,24,Edna Thomas,Corporate,Office Supplies,Pens & Art Supplies,Newell 323,Warsaw,Wednesday,3.00,-5.3072,1,2.25,87651,FALSE,2015-01-28,,,
23967,Not Specified,0.04,4.14,27,Guy Gallagher,Corporate,Furniture,Office Furnishings,Eldon Image Series Black Desk Accessories,Warsaw,Saturday,6.00,8.894,12,54.78,87652,FALSE,2015-05-02,,,
23509,High,0.08,34.99,32,Matthew Berman,Corporate,Office Supplies,Pens & Art Supplies,Hunt Boston® Vacuum Mount KS Pencil Sharpener,Warsaw,Sunday,7.00,144.69,13,424.68,89199,FALSE,2015-02-22,,,
23612,High,0.01,17.98,32,Matthew Berman,Corporate,Technology,Office Machines,Canon P1-DHIII Palm Printing Calculator,Warsaw,Friday,5.00,-35.8788,2,40.17,89200,FALSE,2015-03-27,,,
23278,Medium,0.09,125.99,32,Matthew Berman,Corporate,Technology,Telephones and Communication,StarTAC 3000,Warsaw,Tuesday,2.00,209.997,8,783.55,89202,FALSE,2015-01-20,,,
19355,Low,0.06,205.99,32,Matthew Berman,Corporate,Technology,Telephones and Communication,TimeportP7382,Warsaw,Thursday,4.00,3568.096,22,3838.14,89203,FALSE,2015-03-12,,,
23654,Not Specified,0.03,4.24,33,Ricky Hensley,Corporate,Office Supplies,Binders and Binder Accessories,Storex DuraTech Recycled Plastic Frosted Binders,Warsaw,Monday,1.00,-84.4376,13,58.68,89201,FALSE,2015-06-15,,,
23655,Not Specified,0.04,2.94,33,Ricky Hensley,Corporate,Office Supplies,Pens & Art Supplies,Newell 338,Warsaw,Monday,1.00,24.312,18,53.1,89201,FALSE,2015-06-15,,,
25933,High,0,99.99,43,Theodore Moran,Consumer,Technology,Office Machines,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Warsaw,Sunday,7.00,25.91382,6,647.07,91454,FALSE,2015-05-10,,,
18551,Not Specified,0,115.99,52,Lorraine Kelly,Corporate,Technology,Telephones and Communication,6160,Warsaw,Tuesday,2.00,162.666,6,627.04,88426,FALSE,2015-03-10,,,
22117,Critical,0.07,3502.14,53,Sidney Russell Austin,Corporate,Technology,Office Machines,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,Warsaw,Wednesday,3.00,-6923.5992,1,3267.55,88425,FALSE,2015-01-28,,,
18552,Not Specified,0.02,5.98,53,Sidney Russell Austin,Corporate,Office Supplies,Paper,Xerox 1903,Warsaw,Tuesday,2.00,-67.49,17,110.19,88426,FALSE,2015-03-10,,,
20697,Medium,0.06,3.8,56,Randall Montgomery,Consumer,Office Supplies,Binders and Binder Accessories,Durable Pressboard Binders,Lodz,Monday,1.00,19.6282,20,73.55,88075,FALSE,2015-04-20,,,
20698,Medium,0.06,1.76,56,Randall Montgomery,Consumer,Office Supplies,Pens & Art Supplies,Newell 310,Lodz,Monday,1.00,-1.6524,17,29.57,88075,FALSE,2015-04-20,,,
22890,High,0.02,5.98,62,Pam Gilbert,Corporate,Office Supplies,Paper,Xerox 193,Krakow,Saturday,6.00,2.14,3,22.85,87407,FALSE,2015-05-09,,,
25354,High,0.04,29.14,62,Pam Gilbert,Corporate,Office Supplies,Paper,"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",Krakow,Friday,5.00,349.4091,17,506.39,87408,FALSE,2015-06-12,,,
21017,Not Specified,0,3.69,64,Lynn Morrow,Small Business,Office Supplies,Labels,Avery 501,Wroclaw,Monday,1.00,-37.5291,1,4,87406,FALSE,2015-03-02,,,
21019,Not Specified,0.02,175.99,64,Lynn Morrow,Small Business,Technology,Telephones and Communication,5165,Wroclaw,Monday,1.00,101.49,4,589.8,87406,FALSE,2015-03-02,,,
23274,Low,0.05,155.06,67,Ellen McCormick,Corporate,Office Supplies,Storage & Organization,"Dual Level, Single-Width Filing Carts",Warsaw,Friday,5.00,845.664,8,1225.6,87946,FALSE,2015-01-02,,,
5272,Low,0,291.73,68,Scott Bunn,Corporate,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Lodz,Friday,5.00,-308.928,4,1239.06,37537,FALSE,2015-01-02,,,
5273,Low,0.07,100.98,68,Scott Bunn,Corporate,Furniture,Chairs & Chairmats,Hon Valutask™ Swivel Chairs,Lodz,Friday,5.00,-1679.76,43,4083.19,37537,FALSE,2015-01-02,,,
5274,Low,0.05,155.06,68,Scott Bunn,Corporate,Office Supplies,Storage & Organization,"Dual Level, Single-Width Filing Carts",Lodz,Friday,5.00,575.396,32,4902.38,37537,FALSE,2015-01-02,,,
7786,High,0.09,122.99,68,Scott Bunn,Corporate,Furniture,Chairs & Chairmats,"Global High-Back Leather Tilter, Burgundy",Lodz,Monday,1.00,-2426.55,49,5718.85,55713,FALSE,2015-02-02,,,
25786,High,0.09,122.99,70,Annette Boone,Corporate,Furniture,Chairs & Chairmats,"Global High-Back Leather Tilter, Burgundy",Lodz,Monday,1.00,-2426.55,12,1400.53,87947,FALSE,2015-02-02,,,
18281,High,0.04,296.18,83,Edgar Stone,Corporate,Furniture,Tables,Hon 94000 Series Round Tables,Lodz,Sunday,7.00,-715.778206,6,1821.89,87365,FALSE,2015-03-15,,,
23639,Not Specified,0,8.09,84,Helen Stein,Consumer,Furniture,Office Furnishings,"6"" Cubicle Wall Clock, Black",Lodz,Monday,1.00,-144.56,11,90.98,87364,FALSE,2015-02-02,,,
23880,High,0.08,896.99,84,Helen Stein,Corporate,Office Supplies,Binders and Binder Accessories,GBC DocuBind TL300 Electric Binding System,Lodz,Monday,1.00,7402.32,13,10728,87366,FALSE,2015-03-30,,,
24663,Low,0.05,161.55,87,Norman Shields,Corporate,Office Supplies,Storage & Organization,Fellowes Super Stor/Drawer® Files,Warsaw,Wednesday,3.00,1892.424,19,3127.69,90596,FALSE,2015-06-03,,,
23841,High,0.09,4.91,87,Norman Shields,Corporate,Office Supplies,Labels,Avery 493,Warsaw,Sunday,7.00,28.8558,9,41.82,90597,FALSE,2015-03-22,,,
23842,High,0.01,296.18,87,Norman Shields,Corporate,Furniture,Tables,Hon 94000 Series Round Tables,Warsaw,Sunday,7.00,173.48,9,2875.72,90597,FALSE,2015-03-22,,,
23071,High,0.07,19.84,91,Wallace Werner,Home Office,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Warsaw,Sunday,7.00,117.852,9,170.8,87175,FALSE,2015-05-17,,,
19877,Medium,0.05,5.18,91,Wallace Werner,Home Office,Office Supplies,Paper,Array® Memo Cubes,Warsaw,Wednesday,3.00,34.0104,10,53.54,87176,FALSE,2015-02-18,,,
19611,Medium,0.06,175.99,91,Wallace Werner,Corporate,Technology,Telephones and Communication,2180,Warsaw,Wednesday,3.00,2031.507,23,3363.53,87177,FALSE,2015-03-04,,,
23069,High,0.07,8.34,92,Victoria Baker Hoover,Home Office,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Wroclaw,Sunday,7.00,-190.68,16,132.08,87175,FALSE,2015-05-17,,,
23070,High,0.09,4.98,92,Victoria Baker Hoover,Home Office,Office Supplies,Paper,Xerox 1897,Wroclaw,Sunday,7.00,325.398,9,45.34,87175,FALSE,2015-05-17,,,
23203,Medium,0.04,12.98,92,Victoria Baker Hoover,Corporate,Office Supplies,"Scissors, Rulers and Trimmers","Acme® 8"" Straight Scissors",Wroclaw,Sunday,7.00,22.818,16,216.04,87178,FALSE,2015-06-07,,,
6243,Not Specified,0.04,160.98,94,Eddie House Mueller,Home Office,Furniture,Chairs & Chairmats,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Krakow,Sunday,7.00,116.1,37,6276.34,44231,FALSE,2015-05-03,,,
6244,Not Specified,0.01,17.98,94,Eddie House Mueller,Home Office,Technology,Computer Peripherals,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",Krakow,Sunday,7.00,-87.96,146,2664.4,44231,FALSE,2015-05-03,,,
24243,Not Specified,0.04,160.98,97,Max McKenna,Home Office,Furniture,Chairs & Chairmats,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Krakow,Sunday,7.00,255.42,9,1526.68,87306,FALSE,2015-05-03,,,
24245,Not Specified,0.06,115.99,97,Max McKenna,Home Office,Technology,Telephones and Communication,5185,Krakow,Sunday,7.00,685.6146,20,1952.56,87306,FALSE,2015-05-03,,,
18494,Medium,0.1,19.98,101,Claudia Boyle,Consumer,Technology,Computer Peripherals,Belkin 105-Key Black Keyboard,Lodz,Monday,1.00,-16.2,16,303.59,88205,FALSE,2015-06-22,,,
6014,Medium,0.04,300.98,102,Caroline Johnston,Consumer,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Lodz,Monday,1.00,2023.75,31,9459.94,42599,FALSE,2015-04-06,,,
494,Medium,0.1,19.98,102,Caroline Johnston,Consumer,Technology,Computer Peripherals,Belkin 105-Key Black Keyboard,Lodz,Monday,1.00,-20.25,65,1233.32,3397,FALSE,2015-06-22,,,
495,Medium,0.09,2.88,102,Caroline Johnston,Consumer,Office Supplies,Binders and Binder Accessories,Avery Durable Binders,Lodz,Monday,1.00,-3.381,17,47.31,3397,FALSE,2015-06-22,,,
24014,Medium,0.04,300.98,107,Lois Hamilton,Consumer,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Lodz,Monday,1.00,1684.4763,8,2441.27,88204,FALSE,2015-04-06,,,
18495,Medium,0.09,2.88,109,Tom McFarland,Consumer,Office Supplies,Binders and Binder Accessories,Avery Durable Binders,Lodz,Monday,1.00,-2.7048,4,11.13,88205,FALSE,2015-06-22,,,
19074,High,0.03,4.26,114,Ron Newton,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Warsaw,Saturday,6.00,18.658,7,29.5,89583,FALSE,2015-01-03,,,
19950,Medium,0.01,4.91,114,Ron Newton,Home Office,Office Supplies,Labels,Avery 493,Warsaw,Saturday,6.00,40.2477,12,58.33,89584,FALSE,2015-04-04,,,
19951,Medium,0.09,4,114,Ron Newton,Home Office,Office Supplies,Paper,EcoTones® Memo Sheets,Warsaw,Saturday,6.00,14.0898,5,20.42,89584,FALSE,2015-04-04,,,
26241,Low,0.07,2.12,115,Dwight M Carr,Home Office,Technology,Computer Peripherals,Fuji Slim Jewel Case CD-R,Warsaw,Thursday,4.00,-55.84,12,26.07,89585,FALSE,2015-04-09,,,
1074,High,0.03,4.26,117,Linda Weiss,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Warsaw,Saturday,6.00,9.82,29,122.23,7909,FALSE,2015-01-03,,,
1950,Medium,0.01,4.91,117,Linda Weiss,Home Office,Office Supplies,Labels,Avery 493,Warsaw,Saturday,6.00,112.06,47,228.46,13959,TRUE,2015-04-04,,,
1951,Medium,0.09,4,117,Linda Weiss,Home Office,Office Supplies,Paper,EcoTones® Memo Sheets,Warsaw,Saturday,6.00,16.79,19,77.61,13959,TRUE,2015-04-04,,,
8241,Low,0.07,2.12,117,Linda Weiss,Home Office,Technology,Computer Peripherals,Fuji Slim Jewel Case CD-R,Warsaw,Thursday,4.00,-55.84,46,99.94,58914,FALSE,2015-04-09,,,
20688,High,0.05,6.3,120,Helen H Murphy,Corporate,Office Supplies,Labels,Avery 51,Warsaw,Monday,1.00,41.2965,10,59.85,86520,FALSE,2015-01-12,,,
20689,High,0.09,205.99,120,Helen H Murphy,Corporate,Technology,Telephones and Communication,6185,Warsaw,Monday,1.00,1179.0237,10,1708.73,86520,FALSE,2015-01-12,,,
19942,Critical,0.06,8.57,123,Shawn Stern,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Office Executive Series Stainless Steel Trimmers,Wroclaw,Thursday,4.00,105.678,11,94.97,90669,FALSE,2015-04-09,,,
24319,Not Specified,0.02,1.74,129,Kara Allison,Small Business,Furniture,Office Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",Krakow,Tuesday,2.00,-37.39,5,10.23,86693,FALSE,2015-01-27,,,
18161,Not Specified,0.07,15.74,129,Kara Allison,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Krakow,Monday,1.00,149.8887,14,217.23,86694,FALSE,2015-05-25,,,
25762,Critical,0.04,18.97,136,Dale Gillespie,Small Business,Office Supplies,Paper,Xerox 1939,Warsaw,Saturday,6.00,3.04,5,101.74,88534,FALSE,2015-05-16,,,
25764,Critical,0.09,10.98,136,Dale Gillespie,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Fiskars® Softgrip Scissors,Warsaw,Saturday,6.00,2.706,8,84.52,88534,FALSE,2015-05-16,,,
24803,Critical,0.03,22.84,142,Brooke Weeks Taylor,Small Business,Office Supplies,Paper,Xerox 1964,Lodz,Tuesday,2.00,91.956,13,312.59,91087,FALSE,2015-06-02,,,
24805,Critical,0.05,10.98,144,Marguerite Moss,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Fiskars® Softgrip Scissors,Lodz,Tuesday,2.00,-2.544,6,64.4,91087,FALSE,2015-06-02,,,
24849,Medium,0.06,7.04,145,Rhonda Ivey,Small Business,Office Supplies,Paper,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Lodz,Thursday,4.00,2.4852,2,14.65,91086,FALSE,2015-01-15,,,
25582,Low,0.07,154.13,145,Rhonda Ivey,Home Office,Furniture,Tables,Laminate Occasional Tables,Lodz,Monday,1.00,-634.7341,3,453.62,91089,FALSE,2015-03-16,,,
23365,Not Specified,0.01,45.98,146,Yvonne Fox,Small Business,Furniture,Office Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Krakow,Thursday,4.00,133.5771,4,193.59,91088,FALSE,2015-03-12,,,
22907,Medium,0.06,180.98,146,Yvonne Fox,Corporate,Furniture,Chairs & Chairmats,Global Ergonomic Managers Chair,Krakow,Thursday,4.00,251.4084,5,929.57,91090,FALSE,2015-04-23,,,
19058,Critical,0.09,32.98,151,Geoffrey Zhu,Home Office,Technology,Computer Peripherals,PC Concepts 116 Key Quantum 3000 Keyboard,Wroclaw,Thursday,4.00,-20.258,2,62.46,89521,FALSE,2015-01-22,,,
20679,High,0.09,5.98,151,Geoffrey Zhu,Home Office,Office Supplies,Envelopes,Wausau Papers Astrobrights® Colored Envelopes,Wroclaw,Monday,1.00,13.896,5,28.11,89523,FALSE,2015-04-20,,,
21103,Critical,0.09,2.88,152,Kent Kerr,Consumer,Office Supplies,Pens & Art Supplies,Newell 335,Wroclaw,Thursday,4.00,-172.718,2,5.5,89520,FALSE,2015-01-15,,,
22243,Low,0.01,79.52,152,Kent Kerr,Home Office,Furniture,Office Furnishings,Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets,Wroclaw,Sunday,7.00,-40.684,8,667.84,89522,FALSE,2015-04-19,,,
21767,High,0.01,65.99,152,Kent Kerr,Consumer,Technology,Telephones and Communication,StarTAC Analog,Wroclaw,Sunday,7.00,97.86,5,292.23,89524,FALSE,2015-03-29,,,
22470,Low,0.1,39.98,152,Kent Kerr,Small Business,Technology,Computer Peripherals,Microsoft Natural Keyboard Elite,Wroclaw,Thursday,4.00,360.24,21,772.56,89525,FALSE,2015-06-18,,,
22329,Critical,0.01,95.99,156,Diana Xu,Corporate,Technology,Telephones and Communication,T60,Warsaw,Thursday,4.00,713.88,13,1050.08,87671,FALSE,2015-05-14,,,
20324,High,0.03,10.89,156,Diana Xu,Corporate,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,Warsaw,Sunday,7.00,-18.64,3,33.82,87672,FALSE,2015-01-25,,,
26102,Medium,0.05,100.98,164,Robin Kramer Vaughn,Home Office,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",Warsaw,Friday,5.00,-111.4,7,715.55,89961,FALSE,2015-01-02,,,
26103,Medium,0.02,4.98,164,Robin Kramer Vaughn,Home Office,Office Supplies,Paper,Xerox 1952,Warsaw,Friday,5.00,-77.03,9,45.63,89961,FALSE,2015-01-02,,,
21040,Low,0.08,399.98,166,Vicki Hauser,Consumer,Technology,Office Machines,Okidata ML320 Series Turbo Dot Matrix Printers,Wroclaw,Sunday,7.00,28.5141,5,1839.91,89426,FALSE,2015-01-11,,,
19315,Low,0.08,43.22,169,Janice Cole,Corporate,Technology,Computer Peripherals,"Fellowes Mobile Numeric Keypad, Graphite",Wroclaw,Saturday,6.00,280.27458,3,130.62,87463,FALSE,2015-01-03,,,
19316,Low,0.05,574.74,169,Janice Cole,Corporate,Technology,Office Machines,Polycom ViaVideo™ Desktop Video Communications Unit,Wroclaw,Saturday,6.00,-112.4263,12,6945.16,87463,FALSE,2015-01-03,,,
19317,Low,0.04,10.14,169,Janice Cole,Corporate,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wroclaw,Saturday,6.00,24.924,3,30.94,87463,FALSE,2015-01-03,,,
19314,Critical,0.05,1.88,171,Christina Matthews,Corporate,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Lodz,Monday,1.00,-2.9095,1,3.42,87464,FALSE,2015-04-13,,,
5361,Critical,0.02,49.99,181,Wesley Waller,Small Business,Technology,Computer Peripherals,Zoom V.92 USB External Faxmodem,Warsaw,Saturday,6.00,-76.89,18,901.81,38087,FALSE,2015-02-21,,,
522,High,0.07,1.68,181,Wesley Waller,Corporate,Office Supplies,Pens & Art Supplies,Newell 323,Warsaw,Friday,5.00,-35.75,116,186.59,3585,FALSE,2015-05-22,,,
23361,Critical,0.02,49.99,184,Phillip Holmes,Small Business,Technology,Computer Peripherals,Zoom V.92 USB External Faxmodem,Lodz,Saturday,6.00,-76.89,5,250.5,88360,FALSE,2015-02-21,,,
18521,High,0.07,10.06,188,Alex Harrell,Corporate,Office Supplies,Paper,Riverleaf Stik-Withit® Designer Note Cubes®,Krakow,Friday,5.00,152.6556,23,221.24,88361,FALSE,2015-05-22,,,
18522,High,0.07,1.68,188,Alex Harrell,Corporate,Office Supplies,Pens & Art Supplies,Newell 323,Krakow,Friday,5.00,7.15,29,46.65,88361,FALSE,2015-05-22,,,
18817,High,0.1,58.1,190,Lloyd Norris,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Krakow,Thursday,4.00,113.6499,3,164.71,89092,FALSE,2015-02-12,,,
